names,ids,bds
Katja Seizinger,205171,1972
Marielle Goitschel,-10600,1945
Barbara Cochran,-10074,1951
Tatiana Blagouliak,485359,1984
Elena Sandulli,6295334,14-01-2000
Laure Pequegnot,195249,1975
Michaela Smutna,155479,1987
Kellie Casey,105019,1965
Adeline Teyssier,195224,1970
Alexandra Marasova,-10020,1965
Tanja Poutiainen,185140,1980
Foreste Peterson,539678,09-09-1993
Valerie Grenier,107613,30-10-1996
Petra Zakourilova,155047,1978
Traudl Hecher,-10904, 
Andrine Maarstoel,426285,27-05-1999
Veronika Tarasovicova,705044,1970
Claire Dautherives,196016,1982
Tanja Pieren,515166,1978
Edith Miklos,465059,1988
Nika Fleiss,385027,1984
Ylva Staalnacke,506348,17-09-1992
Bryna McCarty,537446,1983
Martina Koschuttnigg,55033,1974
Georgia Willinger,415213,1997
Tanis Hunt,535281,1970
Ludmila Milanova,705019,1967
Lubica Lopusna,705037,1981
Heidi Wiesler,205206,1960
Noemie Kolly,516521,20-07-1998
Alenka Kuerner,565290,1986
Kjersti Bjorn-roli,535968,1976
Neja Dvornik,565491,06-01-2001
Sofia Goggia,298323,15-11-1992
Corina Hossmann,515363,1976
Leila Piccard,195277,1971
Rita Good,-10783, 
Verena Gasslitter,299402,12-10-1996
Thea Louise Stjernesund,426193,24-11-1996
Lisa-Maria Zeller,56126,1992
Carina Raich,55388,1979
Ashley T. Davenport,535940,1976
Melanie Meillard,516528,23-09-1998
Chloe Margrethe Fausa,425916,1992
Jasmine Flury,516248,16-09-1993
Lesley Beck,225002,1964
Robin Morning,-10797, 
Karin Huttary,505436,1977
Angelika Gruener,296242,1983
Eva Kurfuerstova,155194,1977
Maryna Gasienica Daniel,435334,19-02-1994
Roberta Serra,295310,1970
Andrea Schwarzenberger,205343,1971
Klara Pospisilova,155887,12-08-1999
Katharina Duerr,205168,1989
Liene Bondare,555035,21-02-1996
Nusa Tome,-10693, 
Marta Antonioli,295644,1976
Wendy Siorpaes,296473,1985
Kelly Mcbroom,105334,1989
Anna Marno,539457,1992
Rosi Krenn,-10814, 
Edda Mutter,205265,1970
Dagmar Kuzmanova,-10190, 
Emilie Desforges,106410,1983
Madison Mcleish,107156,1992
Claudia Riedl,-10176, 
Blanca Fernandez Ochoa,495013, 
Katjusa Pusnik,565033,1969
Nuunu Chemnitz Berthelsen,175050,30-10-1996
Rowena Bright,45087,1980
Stefanie Fleckenstein,107697,06-09-1997
Susanne Riesch,206160,1987
Roselda Joux,-10811, 
Kim Mumford,-10509, 
Marlies Oberholzer,-10609, 
Monika Hess,-10671,1964
Brittany Phelan,107068,1991
Caroline Gedde Dahl,425240,1973
Riikka Honkanen,185430,17-07-1998
Claudia Giordani,-10175,1955
Stina Hofgard Nilsen,425389,1979
Veronique Hronek,206367,23-09-1991
Sari Skaling,535191,1969
Ingrid Stoeckl,55082,1969
Sylviane Fabre,-10878, 
Alena Kasakova,485364,1984
Mojca Rataj,715135,1979
Karoline Trojer,296438,1984
Mikaela Shiffrin,6535237,13-03-1995
Alice Merryweather,6535600,05-10-1996
Sofija Novoselic,385041,1990
Kirsten McGarry,275009,1985
Fanny Chmelar,206035,1985
Jessica Puenchera,515587,1982
Sophie Splawinski,106593,1985
Sachiko Yamamoto,305099,1970
Melanie Lenoir,195681,1978
Anemone Marmottan,196793,1988
Charlotte Chable,516334,31-10-1994
Brigitte Sirch,-10116, 
Cindy Nelson,-10171,1955
Lavinia Chrystal,45216,1989
Toril Forland,-10898, 
Stefanie Koehle,55818,1986
Eva Walkner,55382,1979
Picabo Street,535503,1971
Thea Grosvold,425803,1990
Regine Cavagnoud,195195, 
