names,ids,bds
Zan Spilar,561364,23-08-1997
Matthias Bruegger,511947,1993
Christoffer Faarup,170131,28-12-1992
Takashi Shioiri,6300468,15-02-1998
Sebastien Pichot,191778,1981
Tim Luescher,511702,1990
Hannes Trinkl,50221,1968
Alex Zingerle,6290440,17-08-1992
Wade H Bishop,533087,1980
Yohan G. Goutt,960300,20-12-1994
Marc Fulton,-10575, 
Mike Lafferty,-10654, 
Joel Gaspoz,-10447,1962
Atle Skaardal,420182,1966
Jimmy Cochran,534040,1981
Alberto Ghidoni,290258,1962
Piero Gros,-10761,1954
Mathieu Razanakolona,940000,1986
Brennan Rubie,934568,1991
Bob Cochran,-10100,1951
Jean Luc Pinel,-10434, 
Marc Rochat,511899,18-12-1992
Michel Vion,-10644,1959
Herbert Plank,-10377,1954
Rudolf Huber,-10822, 
Vitalij Rumiancev,780002,1985
Kjetil Jansrud,421483,28-08-1985
Juho Handolin,180808,24-12-1997
Fabian Himmelsbach,202908,15-06-1999
Matts Olsson,501324,01-12-1988
Nikolay Skriabin,690013,1978
Stephane Tissot,191425,1979
Franz Heinzer,510109,1962
David Chodounsky,534508,1984
Thomas Hettegger,54245,14-01-1994
Ivano Corvi,-10406, 
Wolfgang Hell,290896,1980
Andreas Strodl,201987,1987
Dominik Gschwenter,51060,1984
Zahari Yanakiev,90134,1987
Paul Boivin,-10722, 
Rudd Pyles,-10820, 
Scott Saunders-Sanchez,-10837, 
Patrice Manuel,190289,1974
William Duke,30357,11-11-1995
Ryu Takeda,301886,1984
Mike Brown,-10650, 
Scott Macartney,532490,1978
Christoph Kornberger,50841,1981
Nicolas Thoule,194212,1990
Ingemar Stenmark,-10391,1956
Anthony Obert,192943,1985
Patrick Jazbec,561161,1989
Jure Franko,-10476, 
Kiril Manolov,90132,1987
Gerhard Lieb,-10304, 
Rogers Little,-10799, 
Kentaro Minagawa,300804,1977
Martin Berthod,-10614, 
Olle Rolen,-10701, 
Antonio Fantino,690413,1991
Thomas Sykora,50213,1968
Asgeir Linberg,420129,1968
Sam Alphand,6190459,29-09-1997
Christophe Fivel,190140,1967
Daniel Dorigo,291704,1977
Michal Jasiczek,430633,13-03-1994
Arttu Niemela,180732,26-04-1994
Tim Lindgren,501384,1989
Max Franz,53817,01-09-1989
Semyel Bissig,512274,19-01-1998
Hubert Nachbauer,-10384, 
Alex Vinatzer,6293171,22-09-1999
Karl Schranz,-10493,1938
Alex Happacher,292150,1979
Emanuele Buzzi,6290985,27-10-1994
Sam Morse,6531520,27-05-1996
Erik Haaker,-10250,1952
Saemi Perren,510275,1980
Dmitry Trelevski,770011,14-11-1983
Borut Bozic,561404,26-11-2000
Pierre Violon,190729,1973
Hans Kirchgasser,-10351, 
Roger Brown,533336,1981
Rodolfo Roberto Dickson Sommers,540026,11-07-1997
Ramon Zenhaeusern,511902,04-05-1992
Stefan Prisadov,92562,1990
Johan Brolenius,500499,1977
Cody B Marshall,533739,1982
Samu Torsti,180666,05-09-1991
Dave Murray,-10201, 
Seigo Kato,6300451,14-04-1998
Jakub Klusak,430550,1992
Stefano Anzi,-10866,1949
Bostjan Kline,561216,09-03-1991
Kilian Albrecht,92591,1973
Filip Zubcic,380335,27-01-1993
Patrick Cogoli,291471,1976
Stepan Zuev,481006,1988
Lucas Senoner,292784,1983
Bryce Bennett,6530104,14-07-1992
Tijan Marovt,561378,08-07-1998
Hubert Strolz,50209,1962
Niklas Henning,-10689,1964
Thibaut Favrot,194935,22-12-1994
Eemeli Pirinen,180705,21-04-1993
Daniel Mahrer,510154,1962
Urs Kaelin,510125,1966
Tomoya Ishii,303097,23-05-1989
Frederic Ancey,-10292, 
Bruno Fretz,-10119, 
Sandro Jenal,511857,28-09-1992
Silvano Meli,-10855, 
Heinrich Rupp,510504,1972
Jouni Pellinen,180449,1983
Brian Stemmle,100294,1966
Todd Kelly,530190,1969
Franco Colturi,290791,1970
Richard Gravier,190204,1974
Alexander Prosch,291420,1976
Sebastiano Gastaldi,30266,12-06-1991
Saso Robic,-10834,1967
Gaku Hirasawa,300444,1973
Roy-Alexander Steudle,221053,05-07-1993
Oliver Kuenzi,510140,1966
Tommy Ford,531799,20-03-1989
Nicolas Raffort,194368,27-06-1991
Alexander Koll,50900,1982
Otto Berger,-10705, 
Klaus Happacher,-10512, 
Doug Lewis,-10222,1964
Marco Odermatt,512269,08-10-1997
Roland Collombin,-10805,1951
Dominik Bialobrzycki,430667,08-08-1995
Klaus Brandner,202196,30-01-1990
Franz Klammer,-10289,1953
Marlon Sjoberg,180817,18-05-1997
Kipling Weisel,6531217,26-03-1995
Christophe Roux,910001,1983
Guenther Marxer,350017,1964
Markus Eberle,201240,1969
Maxim Kedrin,480613,1982
Martin Khuber,670052,23-01-1992
Tommy Moe,530622,1970
Max Luukko,180737,04-01-1994
Sigbert Prestl,-10850, 
Markus Nilsen,421859,1989
Remy Falgoux,6190197,28-04-1996
Martin Cater,561255,20-12-1992
Ales Gorza,560406,1980
Andy Plank,291034,1989
Kurt Schnider,-10524, 
Patrick Haugen Veisten,422359,12-12-1994
Jeff Durand,101112,1976
Tomas Tucek,150077,1975
Yasuyuki Takishita,300701,1976
Vincent Kriechmayr,53980,01-10-1991
Matteo Marsaglia,293550,05-10-1985
Peter Aellig,-10733, 
Samuel Kolega,380377,15-01-1999
Lasse Kjus,420470,1971
Daniel Yule,511996,18-02-1993
Manuel Kramer,53837,1989
Marco Reymond,512082,05-09-1994
Luke Steyn,870002,07-06-1993
Janez Jazbec,561032,1984
Thomas Grandi,100115,1972
Matthias Tippelreither,51434,1988
Anders Rintza,170053,1977
Steve Missillier,192506,1984
Chad Fleischer,530240,1972
Reto Schmidiger,511908,21-04-1992
Didier Plaschy,510497,1973
Thomas Fanara,191750,24-04-1981
Bartl Gensbichler,-10075,1956
Primoz Skerbinek,560419,1980
Yves Tavernier,-10952,1962
Urs Lehmann,510313,1969
Craig Gorder,-10186, 
Peter Duerr,200065,1960
Stefan Stankalla,200249,1975
Ole Magnus Kulbeck,421332,1983
Patrick Biggs,102456,1982
Benno Wicki,510254,1968
Mikhail Taranenko,480997,1988
Helmuth Schmalzl,-10372, 
Franco Cavegn,510035,1971
Keith Shepherd,-10504, 
Giordano Ronci,6290183,12-10-1992
Jeff Piccard,191007,1976
Ivan Kuznetsov,481730,08-06-1996
Peter Mally,-10742, 
Giuliano Giardini,-10325, 
Giorgio Gros,291210,1981
Stephan Keppler,201606,1983
Szymon Kraciuk,430005,1963
Hansueli Tschiemer,510587,1975
Julien Cousineau,102239,1981
Nicholas Krause,6530486,12-05-1993
Karl Trojer,-10495, 
Ralf Socher,100288,1967
Bernhard Flaschberger,-10088, 
Stig Strand,-10871,1956
Walter Tresch,-10930,1948
Torsten Jakobsson,-10901, 
Joze Kuralt,-10468,1957
Kristian Ghedina,290255,1969
Alexandre Bouillot,193034,1985
Jonne Ruoppa,180532,1987
Bjoern Brudevoll,422572,26-02-1997
Robert McKee,-10789, 
Tino Pietrogiovanna,-10890, 
Alexander Heath,570012,1978
Rene Mlekuz,560089,1975
Simon Jocher,202762,25-05-1996
Willi Lesch,-10943, 
Martin Hangl,510107,1962
Niklas Koeck,54076,01-02-1992
Mats Holmgren,-10628,1958
Pietro Vitalini,290573,1967
Johan Oehagen,501255,1987
Leon Nikic,380379,04-10-1999
Leif Kristian Haugen,421669,29-11-1987
Nicklas Naeaes,500165,1973
Stephane Cretin,190098,1967
Rick Chaffee,-10781, 
Stefan Hadalin,561322,06-06-1995
Magnus Walch,54104,15-06-1992
Florian Schieder,6291625,26-12-1995
Josef Strobl,561177,1974
Roger Rossat-Mignod,-10800,1946
Felix Belczyk,100017,1961
Yannick Bertrand,191591,1980
John Buxman,-10450, 
Pierre Egger,50595,1978
Blaise Giezendanner,194298,29-11-1991
Filip Forejtek,151215,03-11-1997
Niki Fuerstauer,340054,1980
Klaus Heidegger,-10513,1957
Hannes Reiter,50851,1981
Cedric Meilleur,191008,1976
Manfred Moelgg,292491,03-06-1982
Kevin Francis,533842,1982
Rene Berthod,-10776, 
Tobias Gruenenfelder,510747,1977
Victor Guillot,6190329,12-06-1996
Cameron Alexander,104537,31-05-1997
Christopher Hoerl,54117,30-08-1989
Maui Gayme,110130,1983
Jan Einar Thorsen,420205,1966
Hayata Wakatsuki,6300673,26-01-1999
Miks Zvejnieks,550066,08-03-1995
Silvano Beltrametti,510812,1979
Daniel Zueger,510344,1979
Kieran Norris,221190,1995
Alex Giorgi,-10016, 
Marvin Van Heek,400281,1991
Pierre Bugnard,516287,27-01-1993
Bernard Grosfilley,-10083, 
Joachim Buchner,-10445, 
Michael Janyk,102435,1982
Daniele Sette,511863,28-02-1992
Christof Brandner,202566,23-09-1994
Jim Hunter,-10442,1953
Bernard Charvin,6191086,1947
Alexei Sugrobov,480468,24-01-1978
Alain Feutrier,190136,1968
Franck Carmagnolle,190121,1972
Paul Arne Skajem,-10727, 
Andrea Zinsli,510512,1972
Roberto Nani,294890,14-12-1988
Mathias Graf,54358,19-01-1996
Naomine Iwaya,-10681, 
Dries Van Den Broecke,60236,10-05-1995
Patrick Feurstein,54359,01-12-1996
Heiner Laengst,202602,1994
Felice De Nicolo',-10272, 
Noel Baxter,220083,1981
Roland Roche,-10803, 
Manfred Jakober,-10573, 
Hannes Reichelt,50742,05-07-1980
Gregor Grilc,560108,1970
Alfred Matt,-10024,1948
Nicholas Moynihan,221112,31-03-1994
Adrian Pertl,54348,22-04-1996
Istok Rodes,380361,27-01-1996
Francois Simond,190328,1969
Travis Ganong,530874,14-07-1988
Tommaso Sala,6291574,06-09-1995
Kai Are Fossland,420789,1976
Michihiko Nakamura,-10649, 
Vincent Millet,190707,1973
Klaus Gattermann,200088,1961
Federico Liberatore,6291631,28-08-1995
Jan Bachleda,-10418, 
Thomas Tumler,511638,05-11-1989
Mika Marila,180121,1973
Mauro Caviezel,511513,18-08-1988
Tim Gilhooly,-10888, 
Victor Muffat Jeandet,193967,05-03-1989
AJ Ginnis,6531063,17-11-1994
Sebastian Holzmann,202520,22-03-1993
Robert Zoller,-10792,1961
Tobias Barnerssoi,200008,1969
Henri Mollin,-10375,1958
Sergio Bergamelli,290640,1970
Fabian Fanger,510389,1981
Drago Grubelnik,560230, 
Jonas Fabre,194686,1993
Angelo Weiss,290578,1969
Albert Popov,92720,08-08-1997
Jean Daniel Deleze,-10429, 
Jouni Kaitala,180442,1983
Marcin Szafranski,430049,1971
Max-gordon Sundquist,501994,05-01-1994
Karl Anderson,-10491, 
Giuseppe Carletti,-10326, 
Erik Read,103729,31-05-1991
Misel Zerak,561254,1992
Luigi Colturi,290132,1967
Patrick Lamotte,-10718, 
Svetoslav Georgiev,92570,1991
Dietmar Thoeni,50217,1968
Manuel Schmid,202525,09-02-1993
Jan Wojtiuk,430307,1983
Alberto Senigagliesi,290756,1970
Alberto Schieppati,292250,1981
Christian Castellano,291287,1974
Joe Levins,530437,1968
Louis Muhlen,40621,12-03-1998
Yannick Favieres,190773,1978
Ludwig Sprenger,291281,1971
Mathias Woelfl,201725,1984
Mirko Deflorian,910004,1980
Amaury Genoud,511988,1993
Tommi Viirret,180317,1978
Michel Bozon,-10642, 
Andrej Jerman,560332,1978
Ryan Semple,102403,1982
Martial Donnet,-10613,1956
Scott Barrett,102635,1983
Johan Clarey,191740,08-01-1981
Hagen Patscheider,294911,1988
Steve Mahre,-10868,1957
Roger Zweifel,510194,1978
Igor Vakhnenko,690036,1981
Hiroyuki Aihara,-10380, 
Bernhard Knauss,560395,1965
Philippe Barroso,-10754, 
Thomas Biesemeyer,531452,30-01-1989
Rok Petrovic,310064,1966
Berni Huber,200141,1967
Benjamin Thomsen,103271,25-08-1987
Tanguy Nef,512203,19-11-1996
Lucas Braathen,422729,19-04-2000
Teddy Takki,180780,24-02-1996
Dominic Demschar,40523,1993
Alessandro Roberto,291768,1977
Bengt Fjaellberg,500031,1961
Peter Eigler,200070,1966
Alexander Ploner,290693,1978
Jostein Masdal,-10467, 
Jesper Brugge,500423,1975
Gilles Roulin,512039,14-05-1994
Jeff Olson,530284,1966
Grega Benedik,310003,1962
Andreas Wenzel,-10033,1958
Otto Tschudi,-10706, 
Rolf von Weissenfluh,510756,1977
Martin Kraus,201310,1980
Jarle Halsnes,-10424, 
Matteo Belfrond,290042,1967
